name,role,team,appearances,goals,assists,yellow_cards,red_cards,mvps,goals_con,ratio
Cristian Rojas,Midfielder,Real Titán FC,0,0,0,0,0,0,0,0
Ricardo 'Rickygol' Villavicencio,Midfielder,Raniza FC,1,0,0,0,0,0,0,0
Andrés Guzmán,Forward,Real Titán FC,1,0,0,0,0,0,0,0
Santiago Lagarde,Midfielder,Club de Cuervos,3,0,0,0,0,0,0,0
Kevin Quiñones,Midfielder,Los Aliens FC,4,0,0,0,0,0,0,0
Ian Granados,Midfielder,Persas FC,0,0,0,0,0,0,0,0
Gabriel Morales,Forward,Peluche Caligari,0,0,0,0,0,0,0,0
Iñaki Domínguez,Midfielder,Olimpo United,5,1,0,0,0,0,0,0
Josep Alonso,Forward,Muchachos FC,1,0,0,0,0,0,0,0
Emiliano López,Midfielder,Peluche Caligari,0,0,0,0,0,0,0,0
José Miramontes,Midfielder,West Santos FC,2,0,1,0,0,0,0,0
Rafael Aja,Midfielder,Club de Cuervos,3,1,0,0,0,0,0,0
Cristopher Ayala,Midfielder,Los Chamos FC,0,0,0,0,0,0,0,0
Javier Meraz,Midfielder,Real Titán FC,2,0,0,0,0,0,0,0
Erik Lugo,Goalkeeper,Atlético Parceros FC,0,0,0,0,0,0,0,0
Alfredo Fierro,Midfielder,West Santos FC,2,0,0,0,0,0,0,0
Julio Espinoza,Forward,Los Aliens FC,2,0,0,0,0,0,0,0
Juan Martínez,Defender,West Santos FC,2,0,0,0,0,0,0,0
Abner Rebollar,Forward,Muchachos FC,4,0,0,0,0,0,0,0
Francisco García,Forward,Olimpo United,1,0,0,0,0,0,0,0
Martín Bravo,Forward,Club de Cuervos,2,0,0,0,0,0,0,0
Didier Uribe,Midfielder,Atlético Parceros FC,0,0,0,0,0,0,0,0
Martín Rodríguez,Midfielder,Real Titán FC,2,0,1,1,0,0,0,0
Jonathan Mateos,Goalkeeper,Olimpo United,4,0,0,1,0,0,5,1.25
Juan Hernández,Forward,Muchachos FC,4,1,0,0,1,0,0,0
Geovanni Sánchez,Midfielder,Raniza FC,1,0,0,0,0,0,0,0
Juan Suárez,Midfielder,Atlético Parceros FC,0,0,0,0,0,0,0,0
Jesús Carbajal,Goalkeeper,Club de Cuervos,1,0,0,0,0,0,0,0.00
Eder López,Midfielder,Club de Cuervos,3,0,1,0,0,0,0,0
Anferny Rebollar,Defender,Los Aliens FC,4,1,0,0,0,0,0,0
César Marín,Defender,Atlético Parceros FC,0,0,0,0,0,0,0,0
Omar Lascari,Goalkeeper,Real Titán FC,2,0,0,0,0,1,2,1.00
Erick Guzmán,Midfielder,Real Titán FC,2,0,0,0,0,0,0,0
Jesús Pérez,Midfielder,Olimpo United,5,1,2,0,0,1,0,0
Donovan Martínez,Midfielder,Club de Cuervos,3,1,0,1,0,0,0,0
Julio García,Midfielder,Muchachos FC,1,0,0,0,0,0,0,0
César Villaluz,Midfielder,Los Aliens FC,4,1,0,1,0,0,0,0
Edson Trejo,Midfielder,Real Titán FC,2,0,1,0,0,0,0,0
Rafael González,Midfielder,Galácticos del Caribe,5,1,0,0,0,0,0,0
